heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
5000000,15,small,18,48109712,16753053874
5000000,15,medium,40,96229520,41392744920
5000000,15,large,64,144443504,84023093726
5000000,16,small,18,48106640,16642713637
5000000,16,medium,40,96226928,41318403141
5000000,16,large,64,144446096,84032539063
5000000,17,small,18,48110480,16574831621
5000000,17,medium,40,96229232,41564187265
5000000,17,large,64,144442736,84341045985
5000000,18,small,18,48107120,16746193202
5000000,18,medium,40,96228560,41254559004
5000000,18,large,64,144449840,83586545379
5000000,19,small,18,48107024,16656279531
5000000,19,medium,40,96229520,41456766397
5000000,19,large,64,144447344,84067464027
5000000,20,small,18,48106928,16697795563
5000000,20,medium,40,96225488,41450902326
5000000,20,large,64,144448592,84283988001
5000000,21,small,18,48107600,16662696678
5000000,21,medium,40,96231344,41308063279
5000000,21,large,64,144450320,84204895342
5000000,22,small,18,48109136,16726337663
5000000,22,medium,40,96225392,41211520526
5000000,22,large,64,144448496,83718165750
5000000,23,small,18,48106160,16709576224
5000000,23,medium,40,96231632,41384481243
5000000,23,large,64,144446192,83754480668
5000000,24,small,18,48111056,16688630345
5000000,24,medium,40,96229040,41249441084
5000000,24,large,64,144454544,84278749512
5000000,25,small,18,48107408,16674131287
5000000,25,medium,40,96228080,41192458758
5000000,25,large,64,144451472,83751173101
5000000,26,small,18,48106448,16675135369
5000000,26,medium,40,96227024,41257451860
5000000,26,large,64,144448592,83843908230
5000000,27,small,18,48110480,16714860108
5000000,27,medium,40,96225296,41546316794
5000000,27,large,64,144452240,84202708639
5000000,28,small,18,48108464,16754253188
5000000,28,medium,40,96229808,41401549488
5000000,28,large,64,144455696,84418821275
5000000,29,small,18,48107024,16677999646
5000000,29,medium,40,96232400,41299336358
5000000,29,large,64,144445712,83976170185
6000000,5,small,16,48106832,16662405596
6000000,5,medium,32,96229040,41395286589
6000000,5,large,52,144444464,83870481995
6000000,6,small,16,48105392,16737851030
6000000,6,medium,32,96231920,41470753982
6000000,6,large,52,144448112,83934601384
6000000,7,small,16,48107888,16729529311
6000000,7,medium,32,96232016,41146669956
6000000,7,large,52,144445520,83849247766
6000000,8,small,16,48106928,16668997725
6000000,8,medium,32,96222800,41201475149
6000000,8,large,52,144446192,84379588648
6000000,9,small,16,48109040,16720971709
6000000,9,medium,32,96229136,40904700851
6000000,9,large,52,144449936,84436090009
6000000,10,small,16,48109520,16723736964
6000000,10,medium,32,96227408,41254467890
6000000,10,large,52,144447824,83963839197
6000000,11,small,16,48108080,16522053454
6000000,11,medium,32,96228080,41320581844
6000000,11,large,52,144448304,83817131930
6000000,12,small,16,48106832,16723393375
6000000,12,medium,32,96225680,41360093138
6000000,12,large,52,144442448,84127223452
6000000,13,small,16,48108176,16561728500
6000000,13,medium,32,96231344,41166192259
6000000,13,large,52,144447344,83641048203
6000000,14,small,16,48105680,16557417488
6000000,14,medium,32,96231728,41409605197
6000000,14,large,52,144447152,83565457423
6000000,15,small,16,48103760,16753431744
6000000,15,medium,32,96231728,41174530964
6000000,15,large,52,144444944,84083888657
6000000,16,small,16,48107120,16566715093
6000000,16,medium,32,96228656,41096137792
6000000,16,large,52,144446000,83704168166
6000000,17,small,16,48104912,16562333505
6000000,17,medium,32,96230288,41151252000
6000000,17,large,52,144446000,84223175252
6000000,18,small,16,48105680,16720108598
6000000,18,medium,32,96227024,41210921891
6000000,18,large,52,144448592,83552073939
6000000,19,small,16,48106448,16695051970
6000000,19,medium,32,96226448,41242721647
6000000,19,large,52,144447248,84486037748
6000000,20,small,16,48105488,16657171462
6000000,20,medium,32,96226064,41539750709
6000000,20,large,52,144450608,84146206866
6000000,21,small,16,48106640,16655799865
6000000,21,medium,32,96227408,41338486628
6000000,21,large,52,144446384,83784788354
6000000,22,small,16,48107408,16711955289
6000000,22,medium,32,96222704,41283124267
6000000,22,large,52,144446576,83837837406
6000000,23,small,16,48109232,16762788519
6000000,23,medium,32,96230768,41342762293
6000000,23,large,52,144447248,84044965770
6000000,24,small,16,48107312,16593104913
6000000,24,medium,32,96228560,41516589264
6000000,24,large,52,144446864,83920487293
6000000,25,small,16,48104816,16591468273
6000000,25,medium,32,96228272,41255001435
6000000,25,large,52,144450896,83520346138
6000000,26,small,16,48110096,16635818139
6000000,26,medium,32,96232304,41191765271
6000000,26,large,52,144448688,83543088387
6000000,27,small,16,48106064,16764290966
6000000,27,medium,32,96228848,41172473095
6000000,27,large,52,144451280,84677920052
6000000,28,small,16,48105776,16539947411
6000000,28,medium,32,96230672,41187768646
6000000,28,large,52,144448304,84000053864
6000000,29,small,16,48108368,16572140679
6000000,29,medium,32,96222032,41220141193
6000000,29,large,52,144446192,84340168741
7000000,5,small,14,48108176,16688521727
7000000,5,medium,28,96228656,41002513863
7000000,5,large,44,144450704,83917238314
7000000,6,small,14,48108368,16587597343
7000000,6,medium,28,96229136,41214064316
7000000,6,large,44,144448400,83528635502
7000000,7,small,14,48108656,16706482961
7000000,7,medium,28,96228752,41532424085
7000000,7,large,44,144445040,83938363814
7000000,8,small,14,48106640,16668864609
7000000,8,medium,28,96230000,40876630198
7000000,8,large,44,144446288,83586339278
7000000,9,small,14,48105200,16646546994
7000000,9,medium,28,96229904,41382879979
7000000,9,large,44,144450416,83924927747
7000000,10,small,14,48107792,16577571774
7000000,10,medium,28,96227312,41061270084
7000000,10,large,44,144448496,84090542156
7000000,11,small,14,48105296,16739477337
7000000,11,medium,28,96232688,41064532084
7000000,11,large,44,144450704,83741233162
7000000,12,small,14,48109040,16627285609
7000000,12,medium,28,96225008,41051177911
7000000,12,large,44,144447056,83574087027
7000000,13,small,14,48108176,16653837397
7000000,13,medium,28,96226256,41360661516
7000000,13,large,44,144445328,84529264899
7000000,14,small,14,48109040,16729903832
7000000,14,medium,28,96231536,41286114340
